Symbol,Exchange,Quandl Code,Name,Session Type,Active,Terminal Point Value,Full Point Value,Currency,Contract Size,Units,Minimum Tick Value,Tick Value,Delievery Months,Start Date,Trading Times,Additional Notes
FTM,CME,CME/FTM,MISO Indiana Hub Real-Time Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,9/26/2011,18:00 - 17:15,
FU,SHFE,SHFE/FU,Fuel Oil-SHFE,Active,1,50,50,CNY,50 tonne,CNY/tonne,1,50,FGHJKMNQUVXZ,8/25/2004,09:00 - 15:00,
FV,CME,CME/FV,T-Note-U.S. 5 Yr-CBT,Active,1,3.125,1000,USD,"$100,000 ",points,2.5,7.8125,HMUZ,5/20/1988,08:20 - 15:00,Beginning with the March 2000 contract the coupon changed from 8% to 6%.
FV,CME,CME/FV,T-Note-U.S.  5 Yr-CBT,Active,1,3.125,1000,USD,"$100,000 ",points,2.5,7.8125,HMUZ,10/18/1994,07:20 - 14:00,The CBT and MACE bond/note contracts were originally based on 8% coupons. Beginning with the 03/2000 contract the prices are based on a 6% coupon. The CBT and MACE bond/note contracts were originally based on 8% coupons. Beginning with the 03/2000 contract the prices are based on a 6% coupon.
FY,CME,CME/FY,Dated-to-Frontline Brent Swap,Active,1,10,1000,USD,1000 bbl,USD / bbl,1,10,FGHJKMNQUVXZ,10/22/2008,18:00 - 17:15,
G,ICE,ICE/G,Gas Oil-(IPE),Active,1,1,100,USD,100 tonnes,USD/tonne,5,5,JKMNQUVXZ,4/6/1981,08:00 - 17:27,
G,ICE,ICE/G,Gas Oil -IPE,Active,1,1,100,USD,100 tonne,USD/tonne,25,25,JKMNQUVXZ,9/9/2003,20:00 - 09:45,
GA,CME,CME/GA,Singapore Gasoil v ICE Rdam Gasoil Swap,Active,1,10,1000,USD,1000 bbl,USD / bbl,1,10,JKMN,10/9/2008,18:00 - 17:15,
GC,CME,CME/GC,Gold-COMEX,Active,1,10,100,USD,100 oz troy,USD/troy oz,1,10,GHJKMQVZ,1/2/1975,18:00 - 17:15,
GE,CME,CME/GE,Eurodollar,Active,1,2.5,2500,USD,USD 1000000,USD / basis point,2.5,6.25,FGHJKMNQUVXZ,10/20/1995,17:00 - 16:00,
GE,CME,CME/GE,Jet Fuel Calendar Swap (Gulf Coast)-CLEAR,Active,1,4.2,42000,USD,42000 gallons,USD/gallon,1,4.2,FGHJKMNQUVXZ,8/30/2006,18:00 - 15:15,
GER,ICE,ICE/GER,Gaspool NG Monthly-ICE,Active,1,,,USD,1 MWh per hour per day per delivery period,MWh of natural gas per hour per day,1,,FGHJKMNQUVXZ,11/17/2010,07:00 - 17:00,
GG,ICE,ICE/GG,Russell 1000 Growth Index-NYFE,Active,0,5,500,USD,$500 x Index,points,5,25,FGHJKMNQUVXZ,5/9/2003,09:30 - 16:15,
GI,CME,CME/GI,Goldman Sachs Commodity-CME,Active,1,2.5,250,USD,$250 x Index,points,5,12.5,JKM,7/28/1992,09:15 - 15:15,The February March and April 2001 contracts were delisted by the exchange beginning on November 13 2000.  The February contract resumed trading on Nov. 16 2000. The March contract resumed trading on January 2 2001 and the April contract resumed trading on January 18 2001.
GI,CME,CME/GI,Goldman Sachs Commodity -CME,Active,1,2.5,250,USD,$250 x Index,points,5,12.5,JKM,3/3/2009,17:00 - 16:00,
GL,CME,CME/GL,Natural Gas-Columbia Gulf Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,$/mmBtu,1,0.25,FGHJKMNQUVXZ,5/24/2006,,
GNM,ICE,ICE/GNM,NCG NG Monthy-ICE,Active,1,,,USD,1 MWh per hour per day per delivery period,MWh of natural gas per hour per day,1,,FGHJKMNQUVXZ,11/17/2010,07:00 - 17:00,
GP,CME,CME/GP,Heating Oil Calendar Swap(Gulf Coast)-CLEAR,Active,0,4.2,42000,USD,42000 gallons,USD/gallon,1,4.2,FGHJKMNQUVXZ,1/27/2005,18:00 - 15:15,
GZ,CME,CME/GZ,Gasoil Crack Spread Calendar Swap,Active,1,10,1000,USD,1000 bbl,USD / bbl,1,10,HJKMNQUVXZ,10/9/2008,18:00 - 17:15,
H2,CME,CME/H2,HDD Chicago,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,9/22/1999,17:00 - 15:15,
H2,CME,CME/H2,ISO New England Mass Hub Day-Ahead Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
H3,CME,CME/H3,HDD Cincinnati,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,9/22/1999,17:00 - 15:15,
H4,CME,CME/H4,HDD New York,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,9/22/1999,17:00 - 15:15,
H4,CME,CME/H4,MISO Indiana Hub (formerly Cinergy Hub) Real-Time Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
H5,CME,CME/H5,HDD Dallas,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,1/31/2000,17:00 - 15:15,
HA,CME,CME/HA,HDD Salt Lake City,Active,1,2,20,USD,USD 20 x Index,points,10,20,HJKMNQUVXZ,12/12/2007,17:00 - 15:15,
HA,CME,CME/HA,Heating Oil v ICE Gasoil,Active,1,4.2,42000,USD,42000 gal,USD / gal,1,4.2,HJKMNQUVXZ,7/31/2009,18:00 - 15:15,
HB,CME,CME/HB,Natural Gas-Henry Hub Basis-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,FGHJKMNQUVXZ,4/20/2004,15:15 - 14:30,
HG,CME,CME/HG,CopperHG-COMEX,Active,1,2.5,250,USD,25000 lbs,cents/lb,5,12.5,FGHJKMNQUVXZ,7/29/1988,18:00 - 17:15,
HH,CME,CME/HH,Natural Gas-Financial(Last Day)-NYMEX,Active,1,10,10000,USD,10000 mmBtu,$/mmBtu,1,10,FGHJKMNQUVXZ,6/12/2006,18:00 - 17:15,
HK,CME,CME/HK,NY Heating Oil/Crude Oil Crack Calendar Swap-CLEAR,Active,1,10,1000,USD,1000 barrels,$/bbl,1,10,FGHJKMNQUVXZ,12/8/2003,,
HK,CME,CME/HK,HDD Detroit,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,12/12/2007,17:00 - 15:15,
HO,CME,CME/HO,NY Harbor ULSD -NYMEX(,Active,1,4.2,42000,USD,42000 gallons,USD/gallon,1,4.2,FGHJKMNQUVXZ,11/15/1978,15:15 - 14:30,
HP,CME,CME/HP,Natural Gas-Financial(Penultimate)-NYMEX,Active,1,10,10000,USD,10000 mmBtu,$/mmBtu,1,10,FGHJKMNQUVXZ,6/12/2006,18:00 - 17:15,
HR,ICE,ICE/HR,Euro/Hungarian Forint-FINEX,Active,1,100,100000,HUF,EUR 100000,HUF/EUR,5,500,FGHJKMNQUVXZ,2/26/2004,19:00 - 15:00,
HR,CME,CME/HR,HDD Houston,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,12/12/2007,17:00 - 15:15,
I6,CME,CME/I6,ERCOT North 345 kV Hub Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,2/27/2012,18:00 - 17:15,
IBO,ICE,ICE/IBO,Soybean Oil-ICE,Active,1,6,600,USD,60000 lbs,cents/lb,1,6,FHKNQUVZ,5/14/2012,20:00 - 18:00,
IBV,CME,CME/IBV,Ibovespa (USD Denominated),Active,1,1,1,USD,$1 x Index,points,25,25,JMQV,10/22/2012,06:15 - 16:00,
ICN,ICE,ICE/ICN,Corn-ICE,Active,1,6.25,50,USD,5000 bu,cents/bushel,2,12.5,HKNUZ,5/14/2012,20:00 - 18:00,
ID,SGX,SGX/ID,MSCI Indonesia Index,Active,1,2,2,USD,USD 2 x Index,points,5,10,FGHJKMNQUVXZ,8/27/2012,09:00 - 02:00,
ID,SGX,SGX/ID,MSCI Indonesia Index,Active,1,2,2,USD,USD 2 x Index,points,5,10,FGHJKMNQUVXZ,8/27/2012,18:30 - 02:00,
ID,SGX,SGX/ID,MSCI Indonesia Index,Active,1,2,2,USD,USD 2 x Index,points,5,10,FGHJKMNQUVXZ,8/27/2012,09:00 - 17:25,
IN,CME,CME/IN,Henry Hub Natural Gas Index Swap (Platts),Active,1,0.25,2500,USD,2500 mmBTU,USD/mmBTU,2.5,0.625,HJ,3/18/2008,18:00 - 17:15,
IP,CME,CME/IP,Houston Ship Channel Natural Gas Index Swap (Platts),Active,1,0.25,2500,USD,2500 mmBTU,USD/mmBTU,2.5,0.625,FGHJKMNQUVXZ,3/18/2008,18:00 - 17:15,
IR,SFE,SFE/IR,Australian 90 Day Bank Bills,Active,1,24,2400,AUD,A$1000000,Percent,1,24,FGHJKMNQUVXZ,6/16/2011,17:10 - 16:30,
IS,CME,CME/IS,Chicage Index Swap,Active,0,0.25,2500,USD,2500 mmBtu,USD / mmBtu,1,0.25,FHKNQUX,10/9/2008,18:00 - 17:15,
IS,ICE,ICE/IS,Soybean-ICE,Active,1,6.25,50,USD,5000 bu,cents/bushel,2,12.5,FHKNQUX,5/14/2012,20:00 - 18:00,
ISM,ICE,ICE/ISM,Soybean Meal-ICE,Active,1,10,100,USD,100 short ton,USD/short ton,1,10,FHKNQUVZ,5/14/2012,20:00 - 18:00,
IW,ICE,ICE/IW,Wheat-ICE,Active,1,6.25,50,USD,5000 bu,cents/bu,2,12.5,HKNUZ,5/14/2012,20:00 - 18:00,
J7,CME,CME/J7,Japanese Yen E-mini -CME,Active,1,6.25,62500,USD,JPY 6250000,USD/JPY 100,1,6.25,MU,10/8/1999,14:30 - 14:00,
JB,CME,CME/JB,Japanese Govt Bond-10yr-CME,Active,0,5000,500000,JPY,JPY 50000000,percent,1,5000,HMUZ,1/22/1999,07:20 - 14:00,
JM,CME,CME/JM,Electricity PJM-NYMEX,Active,1,0.01,1,USD,19days-760MWH/20days-800MWH/21days-840MWH/22days-880MWH/23days-920MWH,USD/MWH,5,0.05,FGHJKMNQUVXZ,4/11/2003,08:00 - 14:30,
JP,CME,CME/JP,Electricity-PJM Off-Peak-CLEAR,Active,1,0.01,1,USD,880 MWH to 1060 MWH,2.5 MWH x number of hours,5,0.05,FGHJKMNQUVXZ,3/4/2005,18:00 - 15:15,
JR,CME,CME/JR,DJ Real Estate-CBT,Active,1,1,100,USD,$100 x Index,points,10,10,HMUZ,3/28/2007,18:15 - 16:00,
JR,CME,CME/JR,Jet Barges FOB Rdam vs ICE Gasoil Swap,Active,1,10,1000,USD,1000 tonnes,USD / tonne,1,10,HMUZ,7/31/2009,18:00 - 15:15,
JS,CME,CME/JS,L.A. Jet (OPIS) Swap,Active,1,4.2,42000,USD,42000 gal,USD / gal,1,4.2,HJKM,10/9/2008,18:00 - 17:15,
JY,CME,CME/JY,Japanese Yen-CME,Active,1,12.5,125000,USD,JPY 12500000,USD/JPY 100,1,12.5,HMUZ,5/16/1972,17:00 - 16:00,Beginning with May 1973 the IMM Exchange changed the contract size from 25000000 Yen to 12500000 Yen for all contracts traded by effecting a 2:1 split on all outstanding contracts. In the early years of trading of the Japanese Yen some of the designated quarterly contracts did not trade at any time during the year.   OHL prices became available on July 2 1979.  These prices are the Interbank Spot prices opening at 7am central and closing at 2:30pm central time.
JY,CME,CME/JY,Japanese Yen-CME,Active,1,12.5,125000,USD,JPY12500000,USD/JPY 100,1,12.5,HMUZ,6/26/1992,07:20 - 14:00,Beginning with May 1973 the IMM Exchange changed the contract size from 25000000 Yen to 12500000 Yen for all contracts traded by effecting a 2:1 split on all outstanding contracts.  In the early years of trading of the Japanese Yen some of the designated quarterly contracts did not trade at any time during the year. OHL cash prices became available on July 2 1979.  These prices are the Interbank Spot prices opening at 7am central and closing at 2:30pm central time.
K2,CME,CME/K2,CDD Chicago,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,1/31/2000,17:00 - 15:15,
K2,CME,CME/K2,MISO Indiana Hub (formerly Cinergy Hub) Day-Ahead Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
K3,CME,CME/K3,CDD Cincinnati,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,1/31/2000,17:00 - 15:15,
K4,CME,CME/K4,CDD New York,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,1/31/2000,17:00 - 15:15,
K4,CME,CME/K4,NYISO Zone A Day-Ahead Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
KA,CME,CME/KA,Electricity-NYISO A-CLEAR,Active,1,4,400,USD,400 MWH,USD/MWH,1,4,FGHJKMNQUVXZ,8/28/2003,,
KC,ICE,ICE/KC,Coffee (Floor trading only)-CSCE,Active,1,3.75,375,USD,37500 lbs,cents/lb,5,18.75,HKNUZ,8/16/1972,08:30 - 14:00,The last day of trading for CSCE pit markets was February 29 2008. March 3 2008 to current represents the electronic session. The electronic sessions had started trading on March 29 2007. The last day of trading for CSCE pit markets was February 29 2008. March 3 2008 to current represents the electronic session. The electronic sessions had started trading on March 29 2007.
KC,ICE,ICE/KC,Coffee-CSCE,Active,1,3.75,375,USD,37500 lbs,cents/pound,5,18.75,HKNUZ,3/29/2007,01:30 - 15:15,
KC,ICE,ICE/KC,Coffee-CSCE,Active,1,3.75,375,USD,37500 lbs,cents/pound,5,18.75,HKNUZ,8/16/1972,01:30 - 15:15,Data before 20070329 does not include the electronic sessions.
KG,CME,CME/KG,Electricity-NYISO G-CLEAR,Active,1,4,400,USD,400 MWH,USD/MWH,1,4,FGHJKMNQUVXZ,8/28/2003,,
KI,CME,CME/KI,ISO New England Off-Peak Electricity,Active,1,9.7,970,USD,2.5Mw X off-peak hours (880-1060Mwh),$/Mwh,5,48.5,FGHJKMNQUVXZ,8/9/2007,18:00 - 17:15,
KJ,CME,CME/KJ,Electricity-NYISO J-CLEAR,Active,1,4,400,USD,400 MWH,USD/MWH,1,4,FGHJKMNQUVXZ,8/28/2003,,
KJ,ICE,ICE/KJ,Japenese Yen/Swedish Krona-FINEX,Active,1,20,2000000,JPY,2000000 SEK,JPY/SEK,25,500,FGHJKMNQUVXZ,7/28/2006,19:00 - 15:00,
KK,CME,CME/KK,CDD Detroit,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,12/12/2007,17:00 - 15:15,
KS,CME,CME/KS,Singapore Jet Fuel Swap-CLEAR,Active,1,10,1000,USD,1000 barrels,USD/barrels,1,10,FGHJKMNQUVXZ,10/12/2006,18:00 - 17:15,
KS,CME,CME/KS,CDD Sacramento,Active,1,2,20,USD,USD 20 x Index,points,10,20,FGHJKMNQUVXZ,12/12/2007,17:00 - 15:15,
KW,CME,CME/KW,CDD Boston,Active,1,2,20,USD,USD 20 x Index,points,10,20,HKNUZ,12/12/2007,17:00 - 15:15,
L3,CME,CME/L3,PJM Northern Illinois Hub Off-Peak Calendar-Month Day-Ahead LMP Swap-CLEAR,Active,1,0.05,5,USD,5 MWh,$/MWh,5,0.25,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
L9,CME,CME/L9,ISO New England West Central Massachusetts Zone Off-Peak Day Ahead LMP,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
LB,CME,CME/LB,Lumber-CME,Active,1,11,110,USD,110000 board ft,USD/1000 board ft,1,11,FHKNUX,10/1/1969,17:00 - 16:00,Contract size changed from 90000 to 100000 bd ft beginning with the July 1972 contract; to 130000 bd ft beginning with the January 1981 contract; to 150000 bd ft beginning with the July 1991 contract; to 80000 bf ft beginning with the May 1996 contract; to 110000 bd ft beginning with the January 2000 contract.  One trailing zero is dropped from the newspaper representation of these prices.  Only one cash price per week is available.
LC,CME,CME/LC,Cattle-Live-CME,Active,1,4,400,USD,40000 lbs,cents/lb,2.5,10,GJMQVZ,11/30/1964,08:45 - 12:45,On March 30 1982 the quoted basis of cash prices for LIVE CATTLE changed from Sioux City Iowa to Omaha Nebraska.
LT,CME,CME/LT,Up-Down GC USLD vs NYMEX HO Spread,Active,1,4.2,42000,USD,42000 gal,USD / gal,1,4.2,FGHJKMNQUVXZ,10/9/2008,18:00 - 17:15,
M,ICE,ICE/M,Natural Gas (National Balancing Point)-(IPE)-ICE,Active,1,0.3,300,GBP,1000Therm/Day,0.01 GBP/Therm,1,0.3,FGHJKMNQUVXZ,1/31/1997,08:00 - 17:00,
M6B,CME,CME/M6B,E-Micro GBP / USD,Active,1,0.625,6250,USD,GBP 6250,USD / GBP,1,0.625,MU,3/23/2009,17:00 - 16:00,
M6E,CME,CME/M6E,E-Micro EUR/USD,Active,1,1.25,12500,USD,EUR 12500,USD / EUR,1,1.25,MU,3/23/2009,17:00 - 16:00,
MD,CME,CME/MD,S&P MidCap 400 Index-CME,Active,1,5,500,USD,$500 x Index,points,5,25,HMUZ,2/13/1992,09:30 - 16:15,
ME,CME,CME/ME,Gulf Coast Jet vs NYH#2 HO Spread,Active,1,4.2,42000,USD,42000 gal,USD / gal,1,4.2,FGHJKMNQUVXZ,10/9/2008,18:00 - 17:15,
MF,ICE,ICE/MF,USD/CHF  --> moved to #1703,Active,0,1,100000,CHF,"$100,000 ",CHF,5,5,FGHJKMNQUVXZ,2/13/2004,19:00 - 15:00,
MF,CME,CME/MF,Gulf Coast No. 6 Fuel Oil 3% Sulfur Swap-CLEAR,Active,1,10,1000,USD,1000 barrels,USD/bbl,1,10,FGHJKMNQUVXZ,11/13/2007,18:00 - 17:15,
MGC,CME,CME/MGC,E-Micro Gold-COMEX,Active,1,1,10,USD,10 troy ounce,US Dollar/troy ounce,1,1,GJMQVZ,10/4/2010,18:00 - 17:15,
MM,CME,CME/MM,New York Harbor Residual Fuel 1% Sulfur Swap-CLEAR,Active,1,10,1000,USD,1000 barrels,USD/bbl,1,10,HJKMNQUVXZ,11/13/2007,18:00 - 17:15,
MOD,LME,LME/MOD,Molybdenum (Monthly Prompts)-LME,Active,1,6,6,USD,6 tonnes,USD/tonne,1,6,HJK,6/7/2012,11:40 - 17:00,
MP,CME,CME/MP,Mexican Peso-CME,Active,1,5,500000,USD,MXN 500000,USD/MXN,2.5,12.5,HMUZ,4/25/1995,17:00 - 16:00,The Mexican Peso contract was first introduced on 720516. It did not trade from 851121 to 950425 because the Bank of Mexico restricted all Forex transactions conducted by foreign financial institutions. The Mexican Peso contract was first introduced on 720516. It did not trade from 851121 to 950425 because the Bank of Mexico restricted all Forex transactions conducted by foreign financial institutions.
MP,ICE,ICE/MP,British Pound/US $-Small-FINEX,Active,1,6.25,62500,USD,GBP 62500,USD/GBP,1,6.25,HMUZ,2/13/2004,19:00 - 15:00,
MP,CME,CME/MP,New York Harbor Heating Oil Calendar Swap,Active,1,4.2,42000,USD,42000 gal,$/gal,1,4.2,HMUZ,5/10/2007,18:00 - 17:15,
N,ICE,ICE/N,Gasoline-RBOB-(IPE)-ICE,Active,1,4.2,42000,USD,42000 gallons,USD/gallons,1,4.2,FGHJKMNQUVXZ,4/24/2006,01:00 - 22:00,
N1U,CME,CME/N1U,10yr Deliverable Interest Rate Swap,Active,1,3.125,1000,USD,"$100,000 ",points,5,15.625,MU,12/3/2012,17:00 - 16:00,
N1U,CME,CME/N1U,10yr Deliverable Interest Rate Swap,Active,1,3.125,1000,USD,"$100,000 ",points,5,15.625,MU,12/3/2012,17:00 - 16:00,
N1U,CME,CME/N1U,10yr Deliverable Interest Rate Swap,Active,1,3.125,1000,USD,"$100,000 ",points,5,15.625,MU,12/3/2012,07:20 - 14:00,
N9,CME,CME/N9,PJM Western Hub Real-Time Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/22/2011,18:00 - 17:15,
NCF,ICE,ICE/NCF,Coal NewCastle,Active,1,50,5000,USD,5000 tonnes,USD / tonne,5,250,FGHJKMNQUVXZ,12/22/2008,01:00 - 17:00,
ND,CME,CME/ND,Nasdaq 100 Index /10 -CME,Active,1,10,1000,USD,$100 x Index,points,2.5,25,HMUZ,4/10/1996,15:30 - 15:15,There was a 2:1 split on 1994-01-03 for the Nasdaq 100 Index-E-mini (#5491) There was a 2:1 split on 1994-01-03 for the Nasdaq 100 Index-E-mini (#5491)
ND,CME,CME/ND,Natural Gas-ANR La Basis-CLEAR,Active,0,0.25,2500,USD,2500 mmBtu,$/mmBtu,1,0.25,HMUZ,5/24/2006,,
ND,SGX,SGX/ND,Nikkei Stock Average Dividend Point Index-(Day +),Active,1,100,10000,JPY,JPY10000 x Index,Points,10,1000,HMUZ,7/17/2012,07:45 - 02:00,
ND,SGX,SGX/ND,Nikkei Stock Average Dividend Point Index,Active,1,100,10000,JPY,JPY10000 x Index,Points,10,1000,HMUZ,7/17/2012,18:45 - 02:00,
ND,SGX,SGX/ND,Nikkei Stock Average Dividend Point Index,Active,1,100,10000,JPY,JPY10000 x Index,Points,10,1000,HMUZ,7/17/2012,07:45 - 17:55,
NE,CME,CME/NE,Natural Gas-ANR Oklahoma Basis Swap-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,USD/mmBtu,1,0.25,HMUZ,8/5/2004,19:00 - 14:30,
NE,CME,CME/NE,New Zealand Dollar-CME,Active,1,10,100000,USD,100000 NZD,$/NZD,1,10,HMUZ,5/7/1997,17:00 - 16:00,
NF,CME,CME/NF,Natural Gas-MICHCON Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,USD/mmBtu,1,0.25,FGHJKMNQUVXZ,8/28/2003,,
NF,CME,CME/NF,Milk-Non-Fat Dry -CME,Active,1,0.44,440,USD,44000 lb,$/lb,25,11,FGHJKMNQUVXZ,9/24/2007,09:25 - 13:10,
NG,CME,CME/NG,Natural Gas-Henry Hub-NYMEX,Active,1,10,10000,USD,10000 mmBtu,USD/mmBtu,1,10,FGHJKMNQUVXZ,4/3/1990,09:20 - 14:30,
NG,ACCESS,ACCESS/NG,Natural Gas-GLOBEX,Active,1,10,10000,USD,10000 mmBtu,USD/ mmBtu,1,10,FGHJKMNQUVXZ,10/19/1995,18:00 - 17:15,
NG,CME,CME/NG,Natural Gas-Henry Hub-NYMEX,Active,1,10,10000,USD,10000 mmBtu,USD/mmBtu,1,10,FGHJKMNQUVXZ,4/3/1990,15:15 - 14:30,
NI,CME,CME/NI,Swap Interest Rate 10 Yr-CBT,Active,1,15.625,1000,USD,"$100,000 ",points,1,15.625,FGHJKMNQUVXZ,10/26/2001,17:30 - 16:00,
NI,CME,CME/NI,ISO New England Peak Electricity,Active,1,8.4,840,USD,2.5Mw/hour per peak day (760-920Mwh),$/Mwh,5,42,FGHJKMNQUVXZ,8/9/2007,18:00 - 17:15,
NJ,CME,CME/NJ,Natural Gas-San Juan Basis-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,HMUZ,4/20/2004,15:15 - 14:30,
NJ,ICE,ICE/NJ,Norwegian Krone/Swedish Krona,Active,1,5,500000,SEK,NOK 500000,SEK/NOK,5,25,HMUZ,5/7/2004,03:00 - 15:00,
NK,CME,CME/NK,Nikkei 225 Index-CME,Active,1,5,5,USD,$5.00 x Index,points,5,25,HMUZ,9/25/1990,09:00 - 16:15,
NK,CME,CME/NK,Nikkei 225 Index-CME,Active,1,5,5,USD,$5 x Index,points,5,25,HMUZ,2/23/2004,08:00 - 15:15,
NK,CME,CME/NK,Natural Gas- SUMAS Basis-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,HMUZ,4/20/2004,15:30 - 14:15,
NKVI,OSE,OSE/NKVI,Nikkei 225 Volatility Index-(OSE),Active,1,100,10000,JPY,JPY10000 x Index,Points,5,500,FGHJKMNQUVXZ,2/27/2012,09:00 - 15:15,
NL,CME,CME/NL,NGPL Mid Continent-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,FGHJKMNQUVXZ,7/16/2004,15:30 - 14:15,
NN,CME,CME/NN,Natural Gas-Henry Hub Swap-NYMEX,Active,1,10,10000,USD,10000 mm Btu,$/mm Btu,1,10,FGHJKMNQUVXZ,12/7/2001,10:00 - 14:30,
NQ,CME,CME/NQ,Nasdaq 100 Index-E-mini -CME,Active,1,0.2,20,USD,$20 x Index,points,25,5,HMUZ,6/21/1999,15:45 - 15:15,There was a 2:1 split on 1994-01-03 for the Nasdaq 100 Index-E-mini (#5491) There was a 2:1 split on 1994-01-03 for the Nasdaq 100 Index-E-mini (#5491)
NQ,CME,CME/NQ,Natural Gas-Tennessee 20 Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,$/mmBtu,1,0.25,HMUZ,5/24/2006,,
NQ,CME,CME/NQ,E-mini Nasdaq 100,Active,1,0.2,20,USD,$20 x Index,Points,25,5,HMUZ,2/25/2013,17:00 - 16:15,
NR,CME,CME/NR,Natural Gas-NW Pipeline Rockies-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,FGHJKMNQUVXZ,4/20/2004,15:15 - 14:30,
NS,CME,CME/NS,Natural Gas-SoCal Basis Swap-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,USD/mmBtu,1,0.25,FGHJKMNQUVXZ,8/5/2004,19:00 - 14:30,
NT,ICE,ICE/NT,US Dollar/Norwegian Krone-FINEX,Active,1,1,100000,NOK,USD 100000,NOK/USD,5,5,HMUZ,5/12/2000,20:00 - 18:00,
NT,CME,CME/NT,Swap Interest Rate 5 Yr-CBT,Active,1,31.25,2000,USD,USD 100000,points,1,31.25,HMUZ,6/21/2002,17:30 - 16:00,
NU,CME,CME/NU,Natural Gas-Trunkline LA Basis-(DELISTED)-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,$/mmBtu,1,0.25,HMUZ,5/24/2006,,
NW,CME,CME/NW,Natural Gas-WAHA Basis-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,FGHJKMNQUVXZ,4/20/2004,15:15 - 14:30,
NX,CME,CME/NX,Natural Gas-Texas Eastern M-3 Basis-CLEAR,Active,1,0.25,2500,USD,2500 mmBtu,USD/mmBtu,1,0.25,FGHJKMNQUVXZ,8/28/2003,,
NZ,CME,CME/NZ,Natural Gas-Transco Zone  6-CLEAR,Active,1,0.0001,1,USD,2500 mmBtu,$/mmBtu,1,0.0001,FGHJKMNQUVXZ,4/20/2004,15:15 - 14:30,
O,CME,CME/O,Oats-CME,Active,1,6.25,50,USD,5000 bu,cents/bu,2,12.5,FGHJKMNQUVXZ,1/2/1947,09:30 - 13:15,Prior to 19980101 Volume and Open Interest are given in 1000's of bushels rather than contracts.
O,CME,CME/O,Oats-CBT,Active,1,6.25,50,USD,5000 bu,cents/bu,2,12.5,FGHJKMNQUVXZ,3/1/1996,18:00 - 13:15,
O,ICE,ICE/O,Heating Oil-(IPE)-ICE,Active,1,4.2,42000,USD,42000 gallons,USD/gallons,1,4.2,FGHJKMNQUVXZ,4/21/2006,01:00 - 22:00,
O1,CME,CME/O1,ERCOT West 345 kV Hub Off-Peak,Active,1,0.05,5,USD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,2/27/2012,18:00 - 17:15,
OFM,CME,CME/OFM,Ontario Off-Peak,Active,1,0.05,5,CAD,5 MWh,$/MWh,1,0.05,FGHJKMNQUVXZ,3/24/2011,18:00 - 17:15,
